"term_id","term_text","term_category","is_scam"
1,帳戶凍結,帳戶狀態,true
2,帳戶異常,帳戶狀態,true
3,緊急驗證,行動號召,true
4,即將停用,時間壓力,true
5,立即點擊,行動號召,true
6,務必回覆,行動號召,true
7,逾期失效,時間壓力,true
8,系統升級通知,假冒通知,true
9,假冒檢察官,假冒公務,true
10,假冒警察,假冒公務,true
11,假冒銀行客服,假冒身份,true
12,假冒購物平台,假冒身份,true
13,假冒政府機關,假冒公務,true
14,假冒衛生福利部,假冒公務,true
15,假冒財政局通知,假冒公務,true
16,信用卡異常,金融恐慌,true
17,刷卡失敗,金融恐慌,true
18,未領普發金,金錢誘餌,true
19,保證金,金錢陷阱,true
20,代辦退稅,金錢誘餌,true
21,代辦退款,金錢誘餌,true
22,中獎 手續費,金錢陷阱,true
23,投資保證獲利,投資誘惑,true
24,低利貸款,金錢誘餌,true
25,繳納罰款,金錢恐慌,true
26,點擊連結,行動號召,true
27,回傳 OTP,行動號召,true
28,點擊網址,行動號召,true
29,登入驗證,行動號召,true
30,仿冒網銀網站,釣魚連結,true
31,仿冒銀行 APP,釣魚連結,true
32,兼職陷阱,工作詐騙,true
33,家庭代工,工作詐騙,true
34,索取存摺,資料竊取,true
35,索取金融卡,資料竊取,true
36,包裹配送失敗,物流詐騙,true
37,新訂單通知,訂單詐騙,true
38,帳單逾期,金融恐慌,true
39,密碼已變更,帳號安全,true
40,遠端操作,技術詐騙,true
41,驗證碼要求,行動號召,true
42,寄回金融卡,交付物品,true
43,寄送金卡,交付物品,true
44,寄送電話轉接器,技術設備,true
45,市話申辦,技術需求,true
46,當日撥款,撥款承諾,true
47,不需財力證明,申辦條件,true
48,免聯徵,申辦條件,true
49,無擔保貸款,申辦條件,true
50,律師費,名目費用,true
51,審核費,名目費用,true
52,預繳手續費,名目費用,true
53,多卡預繳,名目費用,true
54,加入LINE專員,聯絡方式,true
55,加入專員LINE,聯絡方式,true
56,提供金融帳戶,資料要求,true
57,提供卡號密碼,資料要求（敏感）,true
58,假客服電話,假冒身分提示,true
59,假廣告,廣告渠道詐騙,true
60,留言引流,互動誘導,true
61,假投資,投資詐騙,true
62,您的健保卡已停卡,假冒機構詐騙,true
63,涉嫌洗錢,假冒機構詐騙,true
64,我們是地檢署,假冒機構詐騙,true
65,監管您的帳戶,假冒機構詐騙,true
66,偵查不公開,假冒機構詐騙,true
67,電話將轉接給檢察官,假冒機構詐騙,true
68,您的包裹有違禁品,假冒機構詐騙,true
69,資金凍結,假冒機構詐騙,true
70,刑事警察局,假冒機構詐騙,true
71,偽造的傳票,假冒機構詐騙,true
72,資金清查,假冒機構詐騙,true
