message_id,message_source,message_text,is_truth_message,scam_category,message_analysis
1,LLM_Generate,您的帳戶出現異常交易，為保障資金安全請立即點擊驗證：https://verify-bank.tw/main，限時30分鐘內處理。,False,金融機構,詐騙 — 含可疑連結、製造緊迫感
2,LLM_Generate,中信銀行：您的信用卡疑被盜刷，已暫停交易。請回撥本行客服確認：(02)2325-3616。若非本人操作請立即回覆「1」。,True,金融機構,合法示例 — 指向官方客服回撥、不含短連結或要求輸入驗證碼；但做題時可用官方客服號碼核實為真
3,LLM_Generate,偵測到異常登入，請於本行驗證頁輸入簡訊驗證碼以恢復權限：https://secure-bank-verify.com/，驗證碼：先送出即綁定。,False,金融機構,詐騙 — 要求輸入驗證碼、誘導到外部連結
4,LLM_Generate,您有未繳稅款，已進入強制執行程序，請立即至「財政在線」填寫資料避免罰款：etax-check.tw/main。,False,政府機構,詐騙 — 製造法律壓力且包含可疑連結
5,LLM_Generate,財政部提醒：若對本期稅務有疑問，請撥打本局客服0800-000-321 或至本局官網查詢。,True,政府機構,合法示例 — 提供官方號碼/官網查證、明確說明「不會要求連結輸入密碼」
6,LLM_Generate,恭喜您！政府普發補助款核准，請先點連結完成身分資料驗證以領取：gov-aid.claim/GO。,False,政府機構,詐騙 — 利用補助或罰款誘因、附可疑領取連結
7,LLM_Generate,您的包裹因地址資料不完整無法派送，請立即點此更新收件資訊：parcel-fix.tw/AA12，否則將退回寄件人。,False,電商/物流平台,詐騙 — 含誘導更新連結，常見手法
8,LLM_Generate,超商宅配提醒：您有一筆宅配待取，請以本訊所附的取件代碼至官方 APP 或至門市出示取件代碼查詢；若有疑問請撥官網客服確認。,True,電商/物流平台,合法示例 — 無外部短連結，建議透過官方APP/門市或客服查證
9,LLM_Generate,您的訂單退款失敗，請點連結重新綁定卡片以完成退款：refund-now.pchome.com.tw/main（限24小時）。,False,電商/物流平台,詐騙 — 要求綁定卡片或提供卡號、外部網址
10,LLM_Generate,免保人、免保證！您的信用已符合快速貸款資格，點此填表立即放款：www.fastloan-approve.com/NT（免押/秒過）。,False,貸款服務,詐騙 — 過度保證、誘導連結
