編號,類型,資料來源,傳送者,內容,是否詐騙(1詐騙2否),解析,delta_auth_權威分,delta_time_時間分,delta_style_風格分,delta_motive_獎懲分,tech_score_科技指標
1,金融機構,LLM_Generate,中信銀行 客服,您的帳戶出現異常交易，為保障資金安全請立即點擊驗證：https://verify-bank.tw/main，限時30分鐘內處理。,1,詐騙 — 含可疑連結、製造緊迫感,2,2,2,2,1
2,金融機構,LLM_Generate,中信銀行 客服,中信銀行：您的信用卡疑被盜刷，已暫停交易。請回撥本行客服確認：(02)2325-3616。若非本人操作請立即回覆「1」。,2,合法示例 — 指向官方客服回撥、不含短連結或要求輸入驗證碼；但做題時可用官方客服號碼核實為真,2,2,0,2,0
3,金融機構,LLM_Generate,中信銀行 客服,偵測到異常登入，請於本行驗證頁輸入簡訊驗證碼以恢復權限：https://secure-bank-verify.com/，驗證碼：先送出即綁定。,1,詐騙 — 要求輸入驗證碼、誘導到外部連結,2,0,2,2,1
4,政府機構,LLM_Generate,財政部稅務局,您有未繳稅款，已進入強制執行程序，請立即至「財政在線」填寫資料避免罰款：etax-check.tw/main。,1,詐騙 — 製造法律壓力且包含可疑連結,2,2,2,2,1
5,政府機構,LLM_Generate,財政部（稅務通知）,財政部提醒：若對本期稅務有疑問，請撥打本局客服0800-000-321 或至本局官網查詢。,2,合法示例 — 提供官方號碼/官網查證、明確說明「不會要求連結輸入密碼」,2,0,0,0,0
6,政府機構,LLM_Generate,行政院,恭喜您！政府普發補助款核准，請先點連結完成身分資料驗證以領取：gov-aid.claim/GO。,1,詐騙 — 利用補助或罰款誘因、附可疑領取連結,2,0,2,2,1
7,電商／物流平台,LLM_Generate,超商宅配,您的包裹因地址資料不完整無法派送，請立即點此更新收件資訊：parcel-fix.tw/AA12，否則將退回寄件人。,1,詐騙 — 含誘導更新連結，常見手法,0,2,2,2,1
8,電商／物流平台,LLM_Generate,超商宅配,超商宅配提醒：您有一筆宅配待取，請以本訊所附的取件代碼至官方 APP 或至門市出示取件代碼查詢；若有疑問請撥官網客服確認。,2,合法示例 — 無外部短連結，建議透過官方APP/門市或客服查證,2,0,0,0,0
9,電商／物流平台,LLM_Generate,PC購物,您的訂單退款失敗，請點連結重新綁定卡片以完成退款：refund-now.pchome.com.tw/main（限24小時）。,1,詐騙 — 要求綁定卡片或提供卡號、外部網址,2,2,2,2,1
10,假冒貸款／借款服務,LLM_Generate,板信商銀,免保人、免保證！您的信用已符合快速貸款資格，點此填表立即放款：www.fastloan-approve.com/NT（免押/秒過）。,1,詐騙 — 過度保證、誘導連結,2,2,2,2,1
11,假冒貸款／借款服務,LLM_Generate,桃園信合社,您申請之貸款案目前資料不足，為保密請撥本行客服核對案件編號12345，或於官方網頁登入查詢案件進度。,2,合法示例 — 要求撥官方客服或至官網登入查案，不會直接在簡訊要求回傳敏感資訊或外部連結,2,0,0,2,0
12,假冒貸款／借款服務,LLM_Generate,青年創業貨款,"恭喜！恭喜！系統已為您核准$200,000，請先支付保證金連結以解凍帳戶：pay-hold.net/azz（24小時內）。",1,詐騙 — 要求先付保證金、誘導匯款,0,2,2,0,1
13,假冒中獎／獎勵／優惠,LLM_Generate,寶島眼鏡,大頭條！超震撼！寶島眼鏡和平東路分公司週年慶，免持卡、無條件，全面破盤價，只有寶島眼鏡才有喔(02)2704-5868,2,法示例 — 商家促銷訊息，提供門市電話／無可疑短連結或要求匯款,0,0,0,0,0
14,假冒中獎／獎勵／優惠,LLM_Generate,寶島眼鏡,"恭喜獲得$1,000購物金，點此領取並輸入個資：claim-prize[.]shop/ID（限本日）。",1,詐騙 — 假中獎誘導點連結並要求個資,0,2,0,2,0
15,假冒中獎／獎勵／優惠,LLM_Generate,寶島眼鏡,本店特別回饋，完成線上登記可獲精美贈品及折扣券，請先輸入信用卡以兌換：gift-verify[.]com/GO。,1,詐騙 — 要求輸入信用卡資料以「兌換贈品」,0,0,0,2,0
16,金融機構,LLM_Generate,台灣銀行 客服,【台灣銀行】偵測異常登入，請立即登入 http://twb-security.com 驗證帳戶，否則將暫停使用。,1,詐騙 — 假冒銀行網站，含可疑短連結  ,2,2,2,2,1
17,金融機構,LLM_Generate,國泰世華 銀行,您的信用卡交易遭風控系統暫停，請回覆「解除」以恢復使用。,1,詐騙 — 要求回覆指令屬典型社交工程  ,2,0,0,0,0
18,金融機構,TRUE,玉山銀行,親愛的顧客您好：您的玉山銀行信用卡約定條款及會員權益 EMAIL 未發送成功，因此改發送簡訊給您，請點 https://esun.co/3Je1v 查看條款內容，歡迎至網路銀行或洽玉山客服確認或更新您的電子信箱，謝謝。謹慎理財信用無價循環利率 5.88~15%,2,真實簡訊,2,0,2,0,1
19,政府機構,LLM_Generate,財政部 稅務局,您有一筆退稅未完成登錄，請於24小時內點擊 gov-taxrefund.tw 補件。,1,詐騙 — 假冒退稅連結  ,2,2,2,0,1
20,政府機構,LLM_Generate,內政部,您名下身分異常，請登入 http://moica-idverify.com 補登資料，以免影響權益。,1,詐騙 — 冒用政府機構名義  ,0,0,2,2,1
21,政府機構,LLM_Generate,移民署,移民署提醒：若收到可疑簡訊或連結，請撥165或至官網查證。,2,合法示例 — 官方建議查證  ,0,0,2,0,1
22,電商平台,LLM_Generate,momo購物,您的訂單付款失敗，請點擊 www.momo-refund.com 補登付款資料。,1,詐騙 — 仿冒退款頁面  ,0,0,2,2,1
23,電商平台,LLM_Generate,蝦皮購物,蝦皮：包裹地址有誤，請回覆「更正」或登入連結更新配送資料。,1,詐騙 — 利用包裹問題誘導點擊  ,0,0,2,0,1
24,電商平台,LLM_Generate,PChome購物,您的PChome訂單已出貨，可於官方APP追蹤物流進度。,2,合法示例 — 官方流程說明  ,2,0,0,0,0
25,貸款服務,LLM_Generate,青年創業貨款,您的貸款資格已核准，請於12小時內完成手續：fastloan-tw.com/verify,1,詐騙 — 假核貸連結  ,0,0,2,2,1
