詐騙編號,詐騙分類,詐騙詞彙
1,假冒機構詐騙,您的健保卡已停卡
2,假冒機構詐騙,涉嫌洗錢
3,假冒機構詐騙,我們是地檢署
4,假冒機構詐騙,監管您的帳戶
5,假冒機構詐騙,偵查不公開
6,假冒機構詐騙,電話將轉接給檢察官
7,假冒機構詐騙,您的包裹有違禁品
8,假冒機構詐騙,資金凍結
9,假冒機構詐騙,刑事警察局
10,假冒機構詐騙,偽造的傳票
11,假冒機構詐騙,資金清查
12,假冒機構詐騙,電話製作筆錄
13,假冒機構詐騙,交付保證金
14,假冒機構詐騙,查封名下所有財產
15,假冒機構詐騙,您是人頭戶
16,假冒機構詐騙,配合調查
17,假冒機構詐騙,掛斷電話視為共犯
18,假冒機構詐騙,戶政事務所
19,假冒機構詐騙,您的身分被冒用
20,假冒機構詐騙,網路電信局
21,假冒機構詐騙,電話費欠繳
22,假冒機構詐騙,金管會
23,假冒機構詐騙,證明您的清白
24,假冒機構詐騙,提供帳戶讓我們監管
25,假冒機構詐騙,派員收款
26,假冒機構詐騙,書記官
27,假冒機構詐騙,法院專線
28,假冒機構詐騙,帳戶涉及詐欺
29,假冒機構詐騙,衛生局
30,假冒機構詐騙,違反防疫規定
31,假冒機構詐騙,監聽您的電話
32,假冒機構詐騙,您被通緝了
33,假冒機構詐騙,司法調查
34,假冒機構詐騙,國稅局
35,假冒機構詐騙,欠繳稅款
36,假冒機構詐騙,執行官
37,假冒機構詐騙,網內互打免費
38,假冒機構詐騙,不要告訴任何人
39,假冒機構詐騙,假公文
40,假冒機構詐騙,保持通話
41,假愛情交友詐騙,戰地軍官
42,假愛情交友詐騙,跨國醫生
43,假愛情交友詐騙,海外石油工程師
44,假愛情交友詐騙,widowed (喪偶)
45,假愛情交友詐騙,甜言蜜語
46,假愛情交友詐騙,從未視訊
47,假愛情交友詐騙,包裹卡在海關
48,假愛情交友詐騙,支付關稅
49,假愛情交友詐騙,一起投資虛擬貨幣
50,假愛情交友詐騙,我帶你賺錢
51,假愛情交友詐騙,共創我們的未來
52,假愛情交友詐騙,盜用網路帥哥美女照
53,假愛情交友詐騙,家人生病需要錢
54,假愛情交友詐騙,老公/老婆
55,假愛情交友詐騙,需要資金周轉
56,假愛情交友詐騙,購買機票來見你
57,假愛情交友詐騙,繼承大筆遺產
58,假愛情交友詐騙,交友軟體認識
59,假愛情交友詐騙,幫我代收貨款
60,假愛情交友詐騙,我的帳戶被凍結
61,假愛情交友詐騙,賭博網站有漏洞
62,假愛情交友詐騙,寄送禮物給你
63,假愛情交友詐騙,聯合國維和部隊
64,假愛情交友詐騙,購買禮物卡
65,假愛情交友詐騙,索取私密照
66,假愛情交友詐騙,合夥投資生意
67,假愛情交友詐騙,我很孤單
68,假愛情交友詐騙,退休金被扣押
69,假愛情交友詐騙,戰亂地區
70,假愛情交友詐騙,只用訊息溝通
71,假愛情交友詐騙,迅速墜入愛河
72,假愛情交友詐騙,國際快遞
73,假愛情交友詐騙,幫我保管錢
74,假愛情交友詐騙,情感勒索
75,假愛情交友詐騙,認識不久就借錢
76,假愛情交友詐騙,投資黃金
77,假愛情交友詐騙,高階主管
78,假愛情交友詐騙,穩定交往後詐騙
79,假愛情交友詐騙,我很想你
80,假愛情交友詐騙,幫我一個小忙
81,假投資詐騙,穩賺不賠
82,假投資詐騙,保證獲利
83,假投資詐騙,加入LINE投資群組
84,假投資詐騙,投資老師
85,假投資詐騙,飆股
86,假投資詐騙,無法出金
87,假投資詐騙,需繳納保證金
88,假投資詐騙,內線消息
89,假投資詐騙,代客操作
90,假投資詐騙,假冒的投資APP
91,假投資詐騙,獲利截圖
92,假投資詐騙,需繳交稅金才能領回
93,假投資詐騙,虛擬貨幣
94,假投資詐騙,USDT (泰達幣)
95,假投資詐騙,抽中未上市股票
96,假投資詐騙,助理
97,假投資詐騙,平台維護中
98,假投資詐騙,帳戶遭凍結
99,假投資詐騙,需升級VIP會員
100,假投資詐騙,財富自由
101,假投資詐騙,被動收入
102,假投資詐騙,AI智能交易
103,假投資詐騙,量化交易
104,假投資詐騙,外匯保證金
105,假投資詐騙,期貨交易
106,假投資詐騙,數據有誤
107,假投資詐騙,投入更多資金解鎖
108,假投資詐騙,龐氏騙局
109,假投資詐騙,學員見證
110,假投資詐騙,報明牌
111,假投資詐騙,股票交流群
112,假投資詐騙,每日返利
113,假投資詐騙,零風險套利
114,假投資詐騙,搬磚
115,假投資詐騙,ICO (首次代幣發行)
116,假投資詐騙,NFT投資
117,假投資詐騙,礦機
118,假投資詐騙,跟單操作
119,假投資詐騙,假投顧
120,假投資詐騙,掌握財富密碼
121,假投資詐騙,快速致富
122,假投資詐騙,鎖倉
123,假投資詐騙,質押挖礦
124,假投資詐騙,假交易所
125,假投資詐騙,老師帶你飛
126,假網路拍賣詐騙,一頁式廣告
127,假網路拍賣詐騙,貨到付款
128,假網路拍賣詐騙,幽靈包裹
129,假網路拍賣詐騙,商品與照片不符
130,假網路拍賣詐騙,價格遠低於市價
131,假網路拍賣詐騙,限時搶購
132,假網路拍賣詐騙,臉書廣告
133,假網路拍賣詐騙,倒數計時
134,假網路拍賣詐騙,免運費
135,假網路拍賣詐騙,聯繫不上賣家
136,假網路拍賣詐騙,無法退貨
137,假網路拍賣詐騙,要求用LINE私下交易
138,假網路拍賣詐騙,盜用名人推薦
139,假網路拍賣詐騙,評價造假
140,假網路拍賣詐騙,劣質仿冒品
141,假網路拍賣詐騙,海外出貨
142,假網路拍賣詐騙,清倉大拍賣
143,假網路拍賣詐騙,假客服
144,假網路拍賣詐騙,限量商品
145,假網路拍賣詐騙,團購主
146,假網路拍賣詐騙,假冒官方網站
147,假網路拍賣詐騙,超商取貨付款
148,假網路拍賣詐騙,網紅推薦
149,假網路拍賣詐騙,贈品
150,假網路拍賣詐騙,聯絡方式不明
151,假網路拍賣詐騙,語法不通順
152,假網路拍賣詐騙,使用簡體字
153,假網路拍賣詐騙,無實體店面
154,假網路拍賣詐騙,評論不實
155,假網路拍賣詐騙,先匯款後出貨
156,假網路拍賣詐騙,交易平台外溝通
157,假網路拍賣詐騙,假抽獎活動
158,假網路拍賣詐騙,代購
159,假網路拍賣詐騙,FB Marketplace
160,假網路拍賣詐騙,Instagram 購物
161,假網路拍賣詐騙,零元商品
162,假網路拍賣詐騙,貨物寄送中 (假查詢網站)
163,假網路拍賣詐騙,盜用圖片
164,假網路拍賣詐騙,拒絕面交
165,假網路拍賣詐騙,全球唯一
166,求職詐騙,海外高薪工作
167,求職詐騙,免經驗、高抽成
168,求職詐騙,寄送存摺提款卡
169,求職詐騙,繳交保證金
170,求職詐騙,刷單賺佣金
171,求職詐騙,人頭帳戶
172,求職詐騙,辦理貸款以美化財力
173,求職詐騙,繳交治裝費
174,求職詐騙,家庭代工
175,求職詐騙,點讚員
176,求職詐騙,打字員
177,求職詐騙,公司地址不明
178,求職詐騙,薪資高得不合理
179,求職詐騙,扣押身分證件
180,求職詐騙,提供帳戶密碼
181,求職詐騙,網路博弈客服
182,求職詐騙,柬埔寨
183,求職詐騙,緬甸KK園區
184,求職詐騙,錄取太輕易
